age_group,Standard population Germany 2011,Standard population Germany 1987,Standard population of Europe 2013,Standard population Old Laender 1987,Standard population New Laender 1987,New standard population of Europe,World standard population
0,666759,846006,1000,621216,224790,1305,2400
01-04,2721901,3269865,4000,2363528,906337,5021,9600
05-09,3523284,4078603,5500,2929037,1149566,6472,10000
10-14,3916377,3906961,5500,2989258,917703,6772,9000
15-19,4048364,5537664,5500,4390590,1147074,7208,9000
20-24,4838349,6698846,6000,5326401,1372445,7792,8000
25-29,4834567,6262120,6000,4913116,1349004,7871,8000
30-34,4757909,5584219,6500,4313030,1271189,7528,6000
35-39,4734075,5298702,7000,4206056,1092646,7212,6000
40-44,6299641,4662696,7000,3763026,899670,6860,6000
45-49,6982467,6204254,7000,4912419,1291835,5865,6000
50-54,6228119,5145720,7000,4064246,1081474,5876,5000
55-59,5424374,4549035,6500,3616027,933008,5553,4000
60-64,4708873,4085505,6000,3321383,764122,5245,4000
65-69,4154918,3277097,5500,2649382,627715,4680,3000
70-74,4909618,2854797,5000,2321663,533134,2932,2000
75-79,3299291,2787967,4000,2226625,561342,2897,1000
80-84,2327472,1719902,2500,1375064,344838,1606,500
85-89,1339192,728973,1500,585999,142974,1044,400
90+,559444,219408,1000,188976,30432,261,100
